commitsha,damaging_hard,damaging_likelybad_max,damaging_likelybad_min,damaging_likelygood_max,damaging_likelygood_min,damaging_maybebad_max,damaging_maybebad_min,damaging_soft,damaging_softest,damaging_verylikelybad_max,damaging_verylikelybad_min,extension_status,goodfaith_bad_max,goodfaith_bad_min,goodfaith_good_max,goodfaith_good_min,goodfaith_likelybad_max,goodfaith_likelybad_min,goodfaith_likelygood_max,goodfaith_likelygood_min,goodfaith_maybebad_max,goodfaith_maybebad_min,goodfaith_verylikelybad_max,goodfaith_verylikelybad_min,rcfilters_enabled,rcfilters_watchlist_enabled,useOres,useOresUi,wiki_db,has_ores,rcfilters_enabled_default,extension_status_default,rcfilters_watchlist_enabled_default,commitsha_default,has_extension,has_beta_extension,has_rcfilters,has_rcfilters_watchlist,commit_dt,deploy_dt,deploy_gap,damaging_maybebad_min_value,goodfaith_bad_min_value,goodfaith_good_min_value,damaging_likelybad_min_value,damaging_likelygood_min_value,goodfaith_maybebad_min_value,goodfaith_likelygood_max_value,goodfaith_maybebad_max_value,goodfaith_good_max_value,goodfaith_likelybad_min_value,damaging_maybebad_max_value,goodfaith_verylikelybad_min_value,damaging_likelygood_max_value,goodfaith_likelygood_min_value,damaging_verylikelybad_max_value,damaging_likelybad_max_value,goodfaith_verylikelybad_max_value,damaging_verylikelybad_min_value,goodfaith_likelybad_max_value,goodfaith_bad_max_value
c19a7d1dd4f8b720ef99cd5a33a9853a0555fa1c,,1.0,maximum recall @ prevision >= 0.45,maximum recall @ precision >= 0.997,0.0,,,,,,,,,,,,,,,,,,,,,,True,,arwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-05-09 16:56:42,2018-05-09 18:04:00,0 days 01:07:18.000000000,,,,,0.0,,,,,,,,0.51,,,1.0,,,,
cb38f9b175d3effa7f6f8e058343592231f8f7f0,,,,,,,,,,1,maximum recall @ precision >= 0.80,,,,,,,,,,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.80,0.0,,,True,,bswiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-07-09 11:45:34,2018-07-09 11:48:00,0 days 00:02:26.000000000,,,,,,0.0,,0.0,,,,0.0,,,1.0,,0.0,0.508,,
3904582dfdc4dbca73b9c9d1676915e40fe624c2,,,,,,,,,,,,,,,,,,,1.0,maximum recall @ precision => 0.998,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,,cawiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-05-09 16:13:28,2018-05-09 18:04:00,0 days 01:50:32.000000000,,,,,,0.0,1.0,0.0,,,,0.0,,,,,0.0,,,
c1a19f963223599ed485f5282a5f25f1a1503b1a,0.45,,,,,,,0.8,0.88,,,,,,,,,,,,,,,,,,True,,cswiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2017-02-21 16:49:30,2017-02-22 00:33:00,0 days 07:43:30.000000000,,,,,,,,,,,,,,,,,,,,
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.45,,,,,,,0.8,0.88,1,recall_at_precision(min_precision=0.98),,,,,,,,,,,,recall_at_precision(min_precision=0.98),0.0,,,True,,cswiki,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000,,,,,,,,,,,,0.0,,,1.0,,model info not implemented in this version of revscoring,model info not implemented in this version of revscoring,,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,,,,,,,,1,maximum recall @ precision >= 0.98,,,,,,,,,,,,maximum recall @ precision >= 0.98,0.0,,,True,,cswiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,,,,,,,,,0.0,,,1.0,,0.102,0.862,,
25d42eedf2f086480643810fd8c65a818eae7fd3,0.14,,,,,,,0.43,,,,,,,,,,,,,,,,,,,True,,enwiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-08-22 10:50:01,2016-08-22 13:09:00,0 days 02:18:59.000000000,,,,,,,,,,,,,,,,,,,,
868fbd422cd1f9a8be9b4b4c85f3a0981036a851,0.17,,,recall_at_precision(min_precision=0.99),0.0,1.0,recall_at_precision(min_precision=0.15),0.49,0.96,,,,,,,,,,,,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.9),0.0,,,True,,enwiki,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False,2017-04-27 16:13:51,2017-04-27 18:41:00,0 days 02:27:09.000000000,model info not implemented in this version of revscoring,,,,0.0,0.0,,model info not implemented in this version of revscoring,,,1.0,0.0,model info not implemented in this version of revscoring,,,,model info not implemented in this version of revscoring,,,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,1.0,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.99,0.0,1.0,maximum recall @ precision >= 0.15,,,,,,,,,,,,1.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,,enwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,0.15,,,0.62,0.0,0.0,1.0,0.062,,,1.0,0.0,0.945,0.795,,1.0,0.062,,,
27d82450bdba45256e571d0c791fd62663b0c91c,,,,,,,,,,,,,,,,,,,,,,,recall_at_precision(min_precision=0.98),0.0,,,True,,eswiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-02-28 16:10:27,2018-02-28 18:19:00,0 days 02:08:33.000000000,,,,,,,,,,,,0.0,,,,,,,,
93a86535c030d171a804914a2bb3e783d557d4ba,,,,,,,,,,,,,,,,,,,1.0,recall_at_precision(min_precision=0.99),,,recall_at_precision(min_precision=0.9),0.0,,,True,,eswikibooks,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-02-28 16:17:10,2018-02-28 18:19:00,0 days 02:01:50.000000000,,,,,,,1.0,,,,,0.0,,,,,,,,
06ea37786d68d9b972b41beabc816e8abe3b29a0,,,,maximum recall @ precision >= 0.99,0.0,,,,,1,maximum recall @ precision >= 0.98,,,,,,,,1.0,maximum recall @ precision >= 0.98,maximum recall @ precision >= 0.15,0.0,,,,,True,True,eswikiquote,True,,,,ef78f52b302c172f8991c37b802ac50e3be39e32,False,False,True,True,2019-04-04 10:11:56,2019-04-04 11:25:00,0 days 01:13:04.000000000,,,,,0.0,0.0,1.0,0.0,,,,,0.966,0.987,1.0,,,0.962,,
404754d41649366b0453f7826ec5c9cb09f07262,0.34,,,,,,,0.62,0.95,,,,,,,,,,,,,,,,,,True,,etwiki,True,,beta,,717558663463f8876b10af829a9599744c856399,False,True,False,False,2017-03-20 17:06:00,2017-03-20 18:28:00,0 days 01:22:00.000000000,,,,,,,,,,,,,,,,,,,,
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.34,,,,,,,0.62,0.95,1,recall_at_precision(min_precision=0.98),,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,etwiki,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000,,,,,,,,,,,,0.0,,,1.0,,model info not implemented in this version of revscoring,model info not implemented in this version of revscoring,,
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,,,,,,,,1,maximum recall @ precision >= 0.98,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,,etwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,,,,,,,,,0.0,,,1.0,,0.026,0.94,,
b59dc054d75966cc444880ed9e6ed797a34a46e1,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,euwiki,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,False,True,2018-07-18 03:05:19,2018-07-18 11:05:00,0 days 07:59:41.000000000,,,,,,,,,,,,,,,,,,,,
83721dc27d3ecadb550a759e9004c794ad0cb792,0.12,,,,,,,0.45,,,,,,,,,,,,,,,,,,,True,,fawiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-06-22 08:08:26,2016-06-22 15:13:00,0 days 07:04:34.000000000,,,,,,,,,,,,,,,,,,,,
