wiki_db,commitsha,has_ores,has_rcfilters,has_rcfilters_watchlist,commit_dt,deploy_dt,deploy_gap
arwiki,c19a7d1dd4f8b720ef99cd5a33a9853a0555fa1c,True,True,True,2018-05-09 16:56:42,2018-05-09 18:04:00,0 days 01:07:18.000000000
bswiki,cb38f9b175d3effa7f6f8e058343592231f8f7f0,True,True,True,2018-07-09 11:45:34,2018-07-09 11:48:00,0 days 00:02:26.000000000
cawiki,3904582dfdc4dbca73b9c9d1676915e40fe624c2,True,True,True,2018-05-09 16:13:28,2018-05-09 18:04:00,0 days 01:50:32.000000000
cswiki,c1a19f963223599ed485f5282a5f25f1a1503b1a,True,False,False,2017-02-21 16:49:30,2017-02-22 00:33:00,0 days 07:43:30.000000000
cswiki,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000
cswiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
enwiki,25d42eedf2f086480643810fd8c65a818eae7fd3,True,False,False,2016-08-22 10:50:01,2016-08-22 13:09:00,0 days 02:18:59.000000000
enwiki,868fbd422cd1f9a8be9b4b4c85f3a0981036a851,True,True,False,2017-04-27 16:13:51,2017-04-27 18:41:00,0 days 02:27:09.000000000
enwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
eswiki,27d82450bdba45256e571d0c791fd62663b0c91c,True,True,True,2018-02-28 16:10:27,2018-02-28 18:19:00,0 days 02:08:33.000000000
eswikibooks,93a86535c030d171a804914a2bb3e783d557d4ba,True,True,True,2018-02-28 16:17:10,2018-02-28 18:19:00,0 days 02:01:50.000000000
eswikiquote,06ea37786d68d9b972b41beabc816e8abe3b29a0,True,True,True,2019-04-04 10:11:56,2019-04-04 11:25:00,0 days 01:13:04.000000000
etwiki,404754d41649366b0453f7826ec5c9cb09f07262,True,False,False,2017-03-20 17:06:00,2017-03-20 18:28:00,0 days 01:22:00.000000000
etwiki,487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,True,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000
etwiki,5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,True,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000
euwiki,b59dc054d75966cc444880ed9e6ed797a34a46e1,True,False,True,2018-07-18 03:05:19,2018-07-18 11:05:00,0 days 07:59:41.000000000
