strata,count,fraction,weight
huwiki_false_true_false,331,1.0,1.0
trwiki_true_false_true,74,1.0,1.0
eswiki_false_true_false,3655,1.0,1.0
plwiki_false_false,51,1.0,1.0
huwiki_false_false_true,6491,1.0,1.0
simplewiki_false_false_true,6602,1.0,1.0
itwiki_true_false_false,3447,1.0,1.0
arwiki_false_false_false,26555,0.7531538316701186,1.32775
svwiki_true_false_false_false,131,1.0,1.0
eswikiquote_true_false_false_false,54,1.0,1.0
nlwiki_false_false_false,20973,0.9536070185476565,1.04865
huwiki_false_false_false,13066,1.0,1.0
sqwiki_true_false_false_false,29,1.0,1.0
srwiki_true_false_true,101,1.0,1.0
eswiki_true_false_true,2961,1.0,1.0
eswikiquote_false_false_true,275,1.0,1.0
srwiki_false_true_false,172,1.0,1.0
plwiki_true_false_false,130,1.0,1.0
lvwiki_false_false_true,1164,1.0,1.0
etwiki_false_true_false,13,1.0,1.0
testwiki_false_true_false,4,1.0,1.0
bswiki_false_false_false,724,1.0,1.0
cawiki_false_false_false,3429,1.0,1.0
zhwiki_false_true_false,187,1.0,1.0
cswiki_false_false_false,6461,1.0,1.0
cswiki_true_true_false,9,1.0,1.0
kowiki_true_true_false,1,1.0,1.0
itwiki_false_true_false,1513,1.0,1.0
zhwiki_true_false_false_false,3498,1.0,1.0
simplewiki_true_false_false_false,135,1.0,1.0
rowiki_true_true_false_false,1,1.0,1.0
cswiki_true_false_false_false,114,1.0,1.0
arwiki_false_true_false,423,1.0,1.0
hewiki_true_false_false_false,685,1.0,1.0
itwiki_false_false_true,102670,0.19479887016655303,5.1335
nlwiki_true_false_false,252,1.0,1.0
sqwiki_false_false_true,847,1.0,1.0
cawiki_false_false_true,3194,1.0,1.0
fiwiki_false_false_true,1470,1.0,1.0
nlwiki_true_false_false_false,382,1.0,1.0
bswiki_true_false_false_false,32,1.0,1.0
fiwiki_false_false_false,3547,1.0,1.0
testwiki_true_false_true,42,1.0,1.0
testwiki_true_true_false,6,1.0,1.0
trwiki_true_true_false_false,51,1.0,1.0
testwiki_false_false,3,1.0,1.0
simplewiki_false_false,17,1.0,1.0
cawiki_false_true_false,9,1.0,1.0
cswiki_false_false_true,2783,1.0,1.0
svwiki_true_false_true,69,1.0,1.0
cswiki_true_true_false_false,1,1.0,1.0
simplewiki_false_true_false,228,1.0,1.0
kowiki_false_false,40,1.0,1.0
sqwiki_false_false_false,1206,1.0,1.0
itwiki_true_false_true,26702,0.7490075649764063,1.3351
zhwiki_true_false_false,2089,1.0,1.0
lvwiki_true_true_false,13,1.0,1.0
kowiki_false_true_false,90,1.0,1.0
svwiki_false_true_false,33,1.0,1.0
arwiki_true_true_false_false,6,1.0,1.0
etwiki_false_false_true,1190,1.0,1.0
svwiki_false_false_true,4004,1.0,1.0
