commitsha,damaging.hard,damaging.likelybad.max,damaging.likelybad.min,damaging.likelygood.max,damaging.likelygood.min,damaging.maybebad.max,damaging.maybebad.min,damaging.soft,damaging.softest,damaging.verylikelybad.max,damaging.verylikelybad.min,extension.status,goodfaith.bad.max,goodfaith.bad.min,goodfaith.good.max,goodfaith.good.min,goodfaith.likelybad.max,goodfaith.likelybad.min,goodfaith.likelygood.max,goodfaith.likelygood.min,goodfaith.maybebad.max,goodfaith.maybebad.min,goodfaith.verylikelybad.max,goodfaith.verylikelybad.min,rcfilters.enabled,rcfilters.watchlist.enabled,useOres,useOresUi,wiki.db,has.ores,rcfilters.enabled.default,extension.status.default,rcfilters.watchlist.enabled.default,commitsha.default,has.extension,has.beta.extension,has.rcfilters,has.rcfilters.watchlist,commit.dt,deploy.dt,deploy.gap,next.deploy.dt
27d82450bdba45256e571d0c791fd62663b0c91c,,,,,,,,,,,,,,,,,,,,,,,0.516,0,,,TRUE,,eswiki,TRUE,TRUE,,TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-02-28 16:10:27,2018-02-28T18:19:00Z,0 days 02:08:33.000000000,2020-01-01T00:00:00Z
93a86535c030d171a804914a2bb3e783d557d4ba,,,,,,,,,,,,,,,,,,,1,0.999,,,0.994,0,,,TRUE,,eswikibooks,TRUE,TRUE,,TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-02-28 16:17:10,2018-02-28T18:19:00Z,0 days 02:01:50.000000000,2020-01-01T00:00:00Z
081fc34336792854b75381bdb079e862f8f88f40,,1,0.617,0.677,0,1,0.149,,,,,,,,,,,,1,0.775,0.056,0,0.922,0,,,TRUE,,simplewiki,TRUE,TRUE,,TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-02-26 16:31:19,2018-02-26T19:22:00Z,0 days 02:50:41.000000000,2020-01-01T00:00:00Z
236766701c4e0bbae60e0ffd331fbff9355ae4b3,,1,0.703,,,,,,,1,0.926,,,,,,,,1,0.021,,,,,,,TRUE,,svwiki,TRUE,TRUE,,TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-02-26 16:42:25,2018-02-26T19:22:00Z,0 days 02:39:35.000000000,2020-01-01T00:00:00Z
1d6d2af399c51e82d39e40a0fbfc663b5ccdf2aa,,1,0.992,,,,,,,,,,,,,,,,,,,,0.998,0,,,TRUE,,wikidatawiki,TRUE,TRUE,,TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2017-10-30 7:03:44,2017-10-30T13:19:00Z,0 days 06:15:16.000000000,2017-11-27T19:11:00Z
0af3ea9e27a31d7988f43c507c9c43e127e5b52b,,1,0.002,,,,,,,0.004,0,,,,,,,,,,,,0.998,0,,,TRUE,,wikidatawiki,TRUE,TRUE,,TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2017-11-27 13:35:54,2017-11-27T19:11:00Z,0 days 05:35:06.000000000,2020-01-01T00:00:00Z
