wiki_db,date,commitsha,rcfilters_enabled,extension_status,useOres,useOresUi,rcfilters_watchlist_enabled,damaging_maybebad_min,damaging_maybebad_max,damaging_verylikelybad_min,damaging_verylikelybad_max,goodfaith_maybebad_min,goodfaith_maybebad_max,goodfaith_likelybad_min,goodfaith_likelybad_max,goodfaith_verylikelybad_min,goodfaith_verylikelybad_max,damaging_likelybad_min,damaging_likelybad_max,damaging_likelygood_min,damaging_likelygood_max,goodfaith_likelygood_min,goodfaith_likelygood_max,damaging_hard,damaging_soft,damaging_softest,goodfaith_good_min,goodfaith_good_max,goodfaith_bad_min,goodfaith_bad_max,has_ores,rcfilters_enabled_default,extension_status_default,rcfilters_watchlist_enabled_default,commitsha_default,has_extension,has_beta_extension,has_rcfilters,has_rcfilters_watchlist
arwiki,2018-05-09 16:56:42,c19a7d1dd4f8b720ef99cd5a33a9853a0555fa1c,,,True,,,,,,,,,,,,,maximum recall @ prevision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
arwiki,2018-05-09 17:11:32,dd898db2236a49df839c123daec4816a0b582dc9,,,True,,,,,,,,,,,,,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
arwiki,2018-06-16 00:00:00,dd898db2236a49df839c123daec4816a0b582dc9,True,,True,,True,,,,,,,,,,,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
arwiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,,,,,,,,,maximum recall @ precision >= 0.45,1.0,0.0,maximum recall @ precision >= 0.997,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
bswiki,2018-07-09 11:45:34,cb38f9b175d3effa7f6f8e058343592231f8f7f0,,,True,,,,,maximum recall @ precision >= 0.80,1,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.80,,,,,,,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
bswiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,maximum recall @ precision >= 0.80,1,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.80,,,,,,,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
cawiki,2018-05-09 16:13:28,3904582dfdc4dbca73b9c9d1676915e40fe624c2,,,True,,,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision => 0.998,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cawiki,2018-05-09 16:47:47,6656bbeabd2c84ef6db55ea16318e35bcc02e351,,,True,,,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.998,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cawiki,2018-06-16 00:00:00,6656bbeabd2c84ef6db55ea16318e35bcc02e351,True,,True,,True,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.998,1.0,,,,,,,,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True
cawiki,2018-07-18 03:05:19,b59dc054d75966cc444880ed9e6ed797a34a46e1,,,True,True,,,,,,0.0,maximum recall @ precision >= 0.15,,,0.0,maximum recall @ precision >= 0.9,,,,,maximum recall @ precision >= 0.998,1.0,,,,,,,,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True
