wiki_db,week,anonymous_N_reverted,anonymous_geom_mean_ttr,newcomer_N_reverted,newcomer_geom_mean_ttr,established_N_reverted,established_geom_mean_ttr,anonymous_N_edits,newcomer_N_edits,established_N_edits
frwiki,2012-09-03T00:00:00.000Z,4628,1.6100621849770476,387,0.7547548801474528,3373,6.550128249157614,25384,1791,103069
hewiki,2014-05-26T00:00:00.000Z,813,0.9384978066198285,99,1.8526504689343914,883,7.609517533161897,2282,319,19500
itwiki,2015-02-16T00:00:00.000Z,5379,2.5789982336717965,561,1.7869448245359463,2751,7.6749944253103495,28381,1629,48624
nlwiki,2007-09-17T00:00:00.000Z,2327,-0.21485945989670815,203,1.3094195844968206,951,6.760357642783763,7374,1374,28704
plwiki,2019-01-14T00:00:00.000Z,1523,1.4371581800594686,124,2.761876535046389,686,4.433366304000655,4733,564,29630
ptwiki,2016-09-26T00:00:00.000Z,5739,0.5996972975726974,456,0.5105388162106111,952,4.088516093168609,15632,1503,24709
rowiki,2011-03-21T00:00:00.000Z,150,1.1347600224381442,59,2.826622191983834,254,6.460342516923474,726,254,5037
simplewiki,2009-03-09T00:00:00.000Z,845,-1.2275135340036516,43,1.306608843098469,160,7.244564949229596,1965,217,2838
srwiki,2015-10-12T00:00:00.000Z,340,1.0969561470190012,22,2.187532735343167,158,2.969152322393981,1245,115,5194
srwiki,2018-12-10T00:00:00.000Z,426,1.6323035440285345,21,4.319022949241661,79,3.9258768686932433,1528,170,6628
svwiki,2008-09-15T00:00:00.000Z,1536,-1.2384175012071699,182,-1.1238681076885442,611,6.915905023083854,6118,777,18837
wikidatawiki,2012-08-13T00:00:00.000Z,0,"",0,"",0,"",0,0,1
wikidatawiki,2016-05-16T00:00:00.000Z,1299,2.088557931791634,152,2.467384084311794,4033,6.898688127484201,14665,1312,675726
zhwiki,2009-04-06T00:00:00.000Z,814,3.1172850521354185,147,1.3676751880281512,977,5.417020873533994,6793,1010,26521
zhwiki,2018-10-01T00:00:00.000Z,1779,2.848371234267514,193,2.2532976373356823,978,5.101697806100286,15425,1026,41197
arwiki,2014-11-24T00:00:00.000Z,2074,2.325059408936467,383,3.4038832741904517,706,5.103565442106493,3508,1016,12540
cswiki,2010-03-22T00:00:00.000Z,755,-0.4537095006496191,60,-0.5346407361795222,267,5.603904932827502,2949,452,12171
cswiki,2015-06-22T00:00:00.000Z,281,2.501000234158578,14,3.859526535838685,135,6.836166346547574,1906,187,10179
enwiki,2019-02-11T00:00:00.000Z,53231,0.5299681761055248,7990,0.04408139053795985,19469,3.7836818511240367,181537,18683,515208
eswiki,2012-08-06T00:00:00.000Z,12829,0.5660831691348034,816,0.7878555948855648,3150,6.021052812416353,43048,2959,76308
euwiki,2014-10-20T00:00:00.000Z,51,0.400688066260422,1,-0.2876820724517809,9,4.887333913896098,179,14,1480
hewiki,2016-09-12T00:00:00.000Z,1113,0.7626005919210332,87,1.2979580204197902,958,6.760120800790543,2918,293,16391
kowiki,2010-03-01T00:00:00.000Z,453,3.800561408956766,55,2.0725607948949047,548,5.933128876932632,6597,506,15913
kowiki,2010-06-28T00:00:00.000Z,387,3.272997635235723,28,1.2439798445437773,559,6.898816321997073,5322,358,13825
mediawikiwiki,2008-04-07T00:00:00.000Z,1,1.7252634779396907,0,"",1,12.720899808448694,61,14,44
nlwiki,2008-07-21T00:00:00.000Z,1081,1.1155858992271632,72,2.5970395591800304,766,7.005587145134364,5215,743,31600
nlwiki,2015-07-06T00:00:00.000Z,1665,1.2764608704196378,223,1.299480795861095,946,6.745172526634145,5682,688,22728
plwiki,2019-01-28T00:00:00.000Z,1449,1.2364706222795874,118,3.59561379352984,471,4.321005255508719,4983,494,31033
ptwiki,2009-01-19T00:00:00.000Z,3584,0.5346820424306313,226,0.9051913269914793,1982,6.590874131068332,14809,1272,29250
ptwiki,2012-10-01T00:00:00.000Z,4891,0.28297518528844845,204,0.22632750363203277,1120,6.233296752047159,13883,889,22631
ptwiki,2013-11-11T00:00:00.000Z,3844,0.8995192620413922,339,-0.11028497957141953,858,4.214088998861907,11821,1219,20458
rowiki,2007-08-06T00:00:00.000Z,167,2.4426370453247217,20,3.7610381706911937,87,7.26925374299251,1270,272,4459
rowiki,2011-03-28T00:00:00.000Z,151,0.7269765738466997,56,2.6746657886706697,209,6.589234885975433,761,226,3865
simplewiki,2008-06-30T00:00:00.000Z,269,-0.8432695707515655,24,-1.271110039432813,139,8.493371525364125,1085,149,3587
simplewiki,2011-12-19T00:00:00.000Z,187,-1.1163641648046394,9,0.33005834239843057,150,7.441340175663389,870,60,2615
sqwiki,2011-08-08T00:00:00.000Z,21,4.731789290737758,6,1.8753403027547162,52,8.083589968820899,211,42,487
sqwiki,2018-02-05T00:00:00.000Z,86,1.5357329252481888,18,0.6246957940300538,75,3.722591787976198,352,86,2753
trwiki,2012-08-13T00:00:00.000Z,1566,3.0841129058774177,87,2.7827241014985744,497,6.155544373837441,5211,501,10516
wikidatawiki,2015-06-15T00:00:00.000Z,620,2.187735579364817,80,2.552495902127189,2459,6.886229664091511,6068,1054,438362
arwiki,2010-10-04T00:00:00.000Z,816,4.637018535761584,77,4.830577196106907,782,7.492255914249011,3514,395,7668
bswiki,2011-01-10T00:00:00.000Z,63,1.5417761701818342,4,7.685167312517198,28,5.776424094296276,149,78,323
cswiki,2009-06-22T00:00:00.000Z,296,0.44074753622940527,28,-0.45655684946275993,237,6.306139612039376,1987,321,8600
enwiki,2011-01-31T00:00:00.000Z,96187,1.4627647632059326,9051,0.9376346697038709,46357,7.2840365278695876,281311,29742,552211
eswikibooks,2016-09-05T00:00:00.000Z,31,3.9195570734296155,0,"",0,"",51,17,322
fiwiki,2009-12-21T00:00:00.000Z,600,-0.8443288994364964,35,-0.28263823469047106,205,5.265468434105411,3750,321,12220
fiwiki,2010-07-12T00:00:00.000Z,476,-0.14905017842147308,29,0.5231859404124033,175,6.442531041447342,3188,213,9711
huwiki,2010-06-28T00:00:00.000Z,194,1.3458589729560444,128,0.8603715606876466,5039,7.737519038898448,1141,379,13242
itwiki,2009-10-19T00:00:00.000Z,4160,0.994259197580955,165,1.0815186774797363,1548,6.224414233067714,27073,1034,56096
lvwiki,2015-08-17T00:00:00.000Z,9,1.1610390687348426,3,0.3193794638599988,34,1.6246551970435685,122,26,1837
lvwiki,2017-03-27T00:00:00.000Z,131,-0.45638255334509525,10,-0.4997314572062971,6,3.051506464189727,269,51,1777
plwiki,2014-04-28T00:00:00.000Z,1437,1.5733883178232435,66,2.650680981164834,492,6.1718301785319465,5243,400,23786
plwiki,2015-07-13T00:00:00.000Z,966,2.2554319950935287,102,2.147293543261707,614,5.3860160501035095,4145,394,27227
ruwiki,2017-10-30T00:00:00.000Z,4248,2.7027875324758903,288,2.764386911507721,1886,5.564930599737509,21182,1543,64177
sqwiki,2014-11-24T00:00:00.000Z,34,4.676260807227751,5,-0.05346030258364269,1,1.7884205679625405,194,50,593
test2wiki,2010-04-19T00:00:00.000Z,6,-3.1656920468281076,1,7.472841789474565,0,"",11,2,1
testwiki,2012-02-27T00:00:00.000Z,0,"",0,"",0,"",0,0,11
testwiki,2017-04-10T00:00:00.000Z,0,"",0,"",1,5.9333877705255595,4,3,33
trwiki,2009-09-28T00:00:00.000Z,5032,3.408616376368662,100,3.7572248990765202,971,6.555202164536683,13288,498,9681
wikidatawiki,2016-09-26T00:00:00.000Z,1412,1.8331457690128639,118,1.7099106105964146,4629,7.9596982206472235,8132,1495,1991349
zhwiki,2013-02-18T00:00:00.000Z,964,4.496185656495465,164,2.6119381179875014,6325,7.340854711525977,11128,1243,36335
cswiki,2010-09-06T00:00:00.000Z,361,-0.8061969970189945,26,0.30246007792140067,315,4.724433164765327,1963,237,9967
enwiki,2009-09-21T00:00:00.000Z,99135,1.9314611382027742,8560,1.4259961426490462,49847,7.4741274264451825,281323,28981,564297
enwiki,2017-09-11T00:00:00.000Z,50381,0.8365153830457106,7182,0.1105954452205254,23810,4.9775108143747415,172391,18901,509656
eswikibooks,2018-04-23T00:00:00.000Z,41,1.6292727619219824,0,"",0,"",68,2,167
eswikiquote,2016-11-28T00:00:00.000Z,9,1.3743742770530545,0,"",0,"",43,2,87
etwiki,2012-02-13T00:00:00.000Z,47,-0.8685004342565162,2,2.0034634968284664,147,8.649254722317995,642,60,3407
fawiki,2011-03-14T00:00:00.000Z,356,1.6255717314314284,66,1.5963756141050671,746,5.817140498676508,856,301,7358
fiwiki,2007-01-22T00:00:00.000Z,1550,-0.15515809039198872,134,-0.21394227000793808,410,5.603749614389812,6298,669,15762
frwiki,2007-05-14T00:00:00.000Z,6445,0.5159033509525923,283,1.7807861774589693,4351,8.158229763918845,29577,2029,101676
frwiki,2010-02-15T00:00:00.000Z,7124,0.6312145094716759,618,0.35618773688213373,3566,6.2747475462718265,36180,3177,100715
huwiki,2011-08-01T00:00:00.000Z,249,0.9365130359992744,39,1.341789588242288,341,4.984819336637888,1084,286,13019
itwiki,2016-02-01T00:00:00.000Z,7283,1.795515824030363,367,0.5422500387252369,2683,7.1262910986326995,30524,1350,50577
mediawikiwiki,2008-12-08T00:00:00.000Z,5,-0.9287072877733322,0,"",0,"",47,18,37
mediawikiwiki,2013-10-07T00:00:00.000Z,20,3.693301753637171,4,4.328671451346356,9,3.5909666152599917,100,28,883
mediawikiwiki,2019-02-04T00:00:00.000Z,33,0.3329371632251915,10,1.8156054363224858,10,3.8928347118073026,157,36,709
nlwiki,2010-01-04T00:00:00.000Z,3354,-1.112299475898948,196,1.2200405268598309,1129,7.070462979359021,9414,915,31076
plwiki,2017-07-17T00:00:00.000Z,931,1.9000403455109913,102,0.5565393771731542,866,5.889956370872678,4076,373,24394
ptwiki,2008-11-10T00:00:00.000Z,5573,-0.9074185568503621,358,-0.05621456727306549,1565,5.7175438087754715,15693,1417,28875
ptwiki,2015-09-07T00:00:00.000Z,5785,1.0039029713150613,427,1.6745888356756333,1137,4.696110431955832,16832,1236,25070
ruwiki,2013-04-29T00:00:00.000Z,7064,2.3218947201365236,203,2.077684525043868,2149,5.635401757082106,32255,1407,77699
simplewiki,2015-07-06T00:00:00.000Z,307,1.299738829629287,57,1.4758278400823104,82,2.4407436638766558,908,151,1820
testwiki,2010-08-02T00:00:00.000Z,0,"",0,"",0,"",4,6,3
testwiki,2012-05-21T00:00:00.000Z,1,-3.2188758248682006,0,"",0,"",10,22,14
trwiki,2017-12-04T00:00:00.000Z,183,1.3200415418236566,35,1.9944182668490111,93,4.013492369312747,572,97,11344
wikidatawiki,2007-10-22T00:00:00.000Z,0,"",0,"",0,"",0,1,0
zhwiki,2017-01-02T00:00:00.000Z,1732,3.7343690452914586,152,3.290813850961382,1503,6.857827694645289,16385,1155,40977
arwiki,2007-11-12T00:00:00.000Z,442,4.9597155923420555,25,3.089639069719205,272,7.191888649896197,2500,238,4701
bswiki,2011-12-05T00:00:00.000Z,82,0.7894359471163745,6,1.0570662564233724,24,6.0012289655217295,164,23,818
bswiki,2018-01-22T00:00:00.000Z,42,-0.35074229107861216,24,-0.2954784281264984,5,2.862637260813307,73,28,963
eswiki,2012-07-30T00:00:00.000Z,12511,0.47585978448481586,728,1.2946622710151647,3574,5.131767033962146,44125,2816,69441
eswiki,2013-05-13T00:00:00.000Z,17948,0.5850782883073904,1047,1.2195491044216182,2406,4.36784580218728,51581,3419,75777
eswikiquote,2009-11-30T00:00:00.000Z,24,3.392709933006589,3,4.304578573988744,3,6.970245802621231,245,31,128
etwiki,2011-08-15T00:00:00.000Z,36,-0.1570204292345051,1,5.471215495317811,205,9.200810243064737,506,40,3815
fiwiki,2008-12-15T00:00:00.000Z,1171,-1.1972554358695313,62,-0.4392260161853307,290,5.405988798993249,5120,309,12420
frwiki,2009-03-09T00:00:00.000Z,7866,0.3002429664208518,468,0.8425275138378661,3882,7.312136805156274,31282,2381,88127
hewiki,2010-09-27T00:00:00.000Z,1236,-0.8853840882626902,125,-0.34354262146131287,772,6.1145420296106545,3063,379,14014
hewiki,2011-08-08T00:00:00.000Z,757,0.8190489122671526,147,0.9930510922118775,1126,7.1030949236165,2357,443,16308
hewiki,2017-04-10T00:00:00.000Z,890,1.317068511554672,80,0.38263930079713615,787,7.105061958553408,2872,329,18248
huwiki,2014-01-13T00:00:00.000Z,276,1.2640061798996647,29,2.4590735742612733,124,4.12786010112635,1499,242,14011
kowiki,2011-10-03T00:00:00.000Z,373,3.59939599598955,41,3.8902248650732187,575,6.542131127766873,5117,471,11441
nlwiki,2008-09-01T00:00:00.000Z,1643,0.9176319056788474,74,2.9455141188060394,921,6.3599344469583805,6602,802,31300
ptwiki,2011-12-19T00:00:00.000Z,3534,1.170476478936483,273,1.3030870520853504,1576,5.816408584995608,12676,1103,25925
ptwiki,2013-12-23T00:00:00.000Z,2282,1.7131775936588554,265,1.2984433175312413,1019,4.701898594977881,8915,943,22797
ruwiki,2009-11-09T00:00:00.000Z,4601,2.050965520264693,214,2.2689705304465106,1774,4.466776394949436,26907,2239,74579
ruwiki,2015-04-06T00:00:00.000Z,6183,2.161063337782932,470,2.027389021062125,2166,5.4952817700544045,26592,2084,77878
svwiki,2008-08-18T00:00:00.000Z,842,0.08828347981504894,105,-0.4452530678133149,583,7.5669275368770705,5722,750,20237
testwiki,2012-06-18T00:00:00.000Z,0,"",0,"",3,-0.6097405173595052,8,0,26
zhwiki,2013-10-21T00:00:00.000Z,1068,4.221931963982491,172,3.550817306225428,1118,6.362136590005588,11489,1240,33376
arwiki,2013-06-24T00:00:00.000Z,986,4.291087534450216,81,4.716277435392253,687,5.4637883428095915,2676,529,10359
cawiki,2011-04-04T00:00:00.000Z,624,-1.1546268732092868,58,-2.304818855949482,263,6.448382217697115,1763,210,12301
cswiki,2010-12-27T00:00:00.000Z,337,0.9414929759773574,59,1.0860825319047984,321,5.010008381569957,2511,383,11778
enwiki,2017-10-09T00:00:00.000Z,55217,0.7569978302192094,7356,-0.24392448687144763,22593,5.04003731174048,186542,17943,471299
enwiki,2018-06-18T00:00:00.000Z,47650,0.9042389390701336,6245,-0.18950489157437067,23215,4.471434036399651,167669,15758,490108
enwiki,2019-03-11T00:00:00.000Z,48974,0.6694336692901147,7134,-0.0921132577490297,21846,3.9583597184980426,174276,18367,522715
eswiki,2012-01-16T00:00:00.000Z,14259,0.22708766992768656,866,1.2360889307244074,2673,4.3542030313979465,44721,3099,62889
eswiki,2012-01-30T00:00:00.000Z,15040,0.13296671654494868,890,1.1497227549670808,2985,5.303577150180642,47226,3282,68980
eswiki,2017-01-09T00:00:00.000Z,12970,-0.08534141672638432,1234,0.7135569549084507,2244,3.989647432293708,39691,3713,62862
eswikibooks,2019-02-25T00:00:00.000Z,41,-5.219555709501166,1,-5.521460917862246,1,9.727701353692455,60,59,55
etwiki,2014-01-27T00:00:00.000Z,91,-0.25606198277071884,5,-0.11683240436972069,2335,10.059374899624332,778,63,3680
etwiki,2018-08-20T00:00:00.000Z,32,0.6767825622500659,0,"",20,3.537999083356783,1064,31,4360
fawiki,2010-05-31T00:00:00.000Z,338,1.633652656923684,60,1.8787983681933171,545,6.214078584144787,911,227,6869
fawiki,2013-09-09T00:00:00.000Z,446,2.905014275149831,124,3.6707426699005343,712,3.6065414568855294,1320,562,12596
fiwiki,2014-05-05T00:00:00.000Z,544,-0.0363446881914794,62,0.22888798713328615,215,4.898705485525024,2415,239,7863
fiwiki,2018-12-24T00:00:00.000Z,346,0.6832993426252628,37,-0.16778542506209662,53,2.2344732653884445,2453,202,8175
hewiki,2009-09-14T00:00:00.000Z,751,-0.1924177003906343,71,2.019786350923131,427,4.106123302117934,2542,181,12536
hewiki,2012-02-13T00:00:00.000Z,1097,0.5510814395534689,66,-0.0026422106146092913,816,7.873896286658321,3053,310,14440
hewiki,2015-08-10T00:00:00.000Z,893,2.1032914692832447,100,2.164405948042323,1044,7.932893704453943,2625,329,14788
huwiki,2015-08-03T00:00:00.000Z,228,2.1448682064936198,51,0.4433890568830118,182,4.90714898665164,1032,233,12416
itwiki,2008-09-15T00:00:00.000Z,3710,1.2053327193758072,128,1.3130674771280142,1941,6.5636834968423,26224,1164,62860
itwiki,2017-12-11T00:00:00.000Z,5879,1.3010485122481923,348,0.8013468431888503,1764,6.066640501927494,24693,1134,49849
kowiki,2009-08-24T00:00:00.000Z,510,4.373938097709912,67,1.5984459919010119,378,6.333451515616678,6882,483,10001
lvwiki,2012-05-14T00:00:00.000Z,64,-0.25542662032144403,7,-1.0767194811421472,71,6.043841170711908,263,90,1608
mediawikiwiki,2017-07-24T00:00:00.000Z,34,2.3279238958185653,2,3.795321050817747,16,6.1862165331796435,113,41,644
nlwiki,2017-03-20T00:00:00.000Z,2358,-0.5616052353925778,131,2.213540022119157,766,6.775888153838634,5561,471,20423
nlwiki,2018-07-30T00:00:00.000Z,1088,1.367174617167333,139,1.6589594512815768,608,5.428560340700998,4750,495,19241
nlwiki,2019-08-19T00:00:00.000Z,1067,1.4225583100667498,131,0.7587313872583867,319,2.932443205476282,4625,550,23919
plwiki,2012-11-12T00:00:00.000Z,1594,0.9505761231222597,58,3.068238604972228,739,5.830411304313566,5975,391,29780
ruwiki,2014-03-31T00:00:00.000Z,6576,2.2444205194953644,349,2.460944812503451,1679,4.951684481722643,27682,1968,65203
ruwiki,2019-01-14T00:00:00.000Z,5395,1.013240046272761,571,0.6154672528828691,1648,4.613404383798663,21350,2088,71532
ruwiki,2019-05-06T00:00:00.000Z,4269,1.4548211155605177,379,0.810334626503916,1345,4.745994458195339,18658,1563,66476
test2wiki,2017-08-14T00:00:00.000Z,0,"",0,"",1,7.498163504589208,2,0,2
testwiki,2014-09-22T00:00:00.000Z,0,"",0,"",0,"",20,0,10
trwiki,2016-02-08T00:00:00.000Z,1618,1.641326458618259,287,1.6802624937553214,1203,5.3857687879010285,4336,893,17237
wikidatawiki,2009-09-07T00:00:00.000Z,0,"",0,"",0,"",0,0,0
zhwiki,2011-12-26T00:00:00.000Z,954,4.649297999222701,143,4.837543577525518,1179,6.719394480970767,10819,968,26093
cswiki,2013-03-11T00:00:00.000Z,867,-0.12820875096163892,58,1.5418127331519975,249,6.541549313614456,3036,398,12867
cswiki,2015-01-26T00:00:00.000Z,450,0.5404535723497857,45,0.8230624396018951,200,4.344900989152048,2205,361,11054
eswiki,2012-07-02T00:00:00.000Z,13270,0.8297851478417427,764,1.4141426059574613,3019,4.708624231311957,46306,2889,70241
eswikibooks,2014-11-03T00:00:00.000Z,57,2.4659603863804995,0,"",2,2.464336317247004,99,25,317
eswikibooks,2017-06-12T00:00:00.000Z,30,-0.30803633761487653,1,-0.021223636451626688,2,3.433964789830812,51,10,213
fawiki,2017-01-09T00:00:00.000Z,1796,1.086394287595863,282,1.4550938992824531,1235,3.6586768996315904,3040,928,15927
fiwiki,2012-12-17T00:00:00.000Z,372,0.27255798926702074,24,0.6030850822222685,307,6.308547231036084,2316,149,8785
hewiki,2016-05-23T00:00:00.000Z,1093,1.6384483739627957,52,2.773358366876983,1206,7.446958111714602,3061,436,18516
kowiki,2007-10-15T00:00:00.000Z,205,2.9323495300369187,27,1.5850913938035465,222,7.123994345316131,1367,222,6303
kowiki,2009-06-01T00:00:00.000Z,381,3.9804219110283463,39,3.638359837487303,472,7.851775614497636,4742,440,11620
kowiki,2010-06-21T00:00:00.000Z,438,3.830714765089584,58,2.071786380340156,593,6.0161326633121295,5282,458,12942
kowiki,2018-05-07T00:00:00.000Z,1161,2.88813022922754,68,0.23498136605764383,530,5.32911027043104,9803,438,17971
mediawikiwiki,2018-09-03T00:00:00.000Z,63,0.9738570206594656,7,-1.21475120892359,5,-0.8599319503018658,169,57,1182
nlwiki,2013-06-03T00:00:00.000Z,4397,-0.750687639111632,129,1.1459778973395967,1177,6.758306280898293,9565,537,32687
nlwiki,2016-10-03T00:00:00.000Z,2198,-0.3859384277053523,162,0.13716127365883385,1018,7.546217226636203,6207,566,24320
plwiki,2007-12-17T00:00:00.000Z,2424,0.7851630294203068,135,2.019231722036163,823,4.851777050868249,11715,828,31385
plwiki,2014-02-03T00:00:00.000Z,1477,1.5176202260314475,75,3.86188662945318,592,6.18945485796963,5995,361,30770
ptwiki,2008-02-25T00:00:00.000Z,5094,1.2214233796827227,232,2.083445728810686,1683,6.601906142827773,16320,1331,30766
ptwiki,2011-11-14T00:00:00.000Z,5400,0.08406640185206612,298,0.5230560405265947,1808,5.3705382005974105,16098,1072,27493
rowiki,2014-08-25T00:00:00.000Z,118,1.5626133910927007,58,1.3514214343903073,144,4.955551582633509,692,216,4918
rowiki,2016-03-28T00:00:00.000Z,374,1.0645774197814237,35,1.334564040588287,140,5.742578920193408,969,196,3280
ruwiki,2010-06-28T00:00:00.000Z,4230,2.25137307842039,189,2.319010611898005,1543,4.257402170630117,24656,1858,75238
simplewiki,2018-03-12T00:00:00.000Z,947,-0.3278690113209506,130,-0.5098370043090227,57,3.0011643532973458,2170,293,2366
sqwiki,2013-10-28T00:00:00.000Z,52,6.606273869563365,5,8.039845145048458,2,10.661715212816018,227,34,290
svwiki,2008-02-25T00:00:00.000Z,1922,-0.25170071670855465,175,-0.705937849243749,736,6.283988044665837,8759,696,22454
svwiki,2017-05-08T00:00:00.000Z,993,-1.8534462947229287,134,-1.9267701731021232,248,3.920081752874821,3142,444,14154
testwiki,2009-05-11T00:00:00.000Z,10,5.14434177524268,0,"",0,"",36,8,11
testwiki,2010-11-22T00:00:00.000Z,1,-1.0078579253996456,0,"",1,1.8324214509469445,4,5,9
testwiki,2018-09-03T00:00:00.000Z,0,"",1,-3.101092789211817,1,6.344056165609079,7,6,34
wikidatawiki,2013-02-11T00:00:00.000Z,465,-1.740128501639509,36,-0.053266872250793504,260,3.099098771201704,2106,448,71522
wikidatawiki,2016-09-12T00:00:00.000Z,1191,2.208084968317408,51,3.063635456527635,3013,7.925939212616003,8027,1118,1044289
zhwiki,2012-05-14T00:00:00.000Z,1036,5.061517818405048,93,4.792101622131173,6830,9.122028409240064,11809,1111,35761
cawiki,2007-12-10T00:00:00.000Z,141,-0.180245412926738,22,-0.09719291583713527,133,7.3432712041892705,1340,340,11223
cawiki,2010-10-18T00:00:00.000Z,332,-0.5318734285982263,25,0.8883498747269206,223,7.099564064442932,1191,291,14253
cswiki,2010-12-06T00:00:00.000Z,586,-0.5493399865377467,64,0.7282972587222494,331,6.360688023328507,2698,290,9330
cswiki,2014-03-24T00:00:00.000Z,725,0.6149234813487238,59,1.0916233953392747,143,5.390532500187514,2684,421,9123
cswiki,2014-04-21T00:00:00.000Z,487,1.6207486798723636,39,0.7537527472441166,169,5.181280158772098,2409,248,10093
enwiki,2012-04-02T00:00:00.000Z,61993,1.8755969396978727,6114,1.7361479024042743,35765,7.390169103247413,210374,20121,505176
enwiki,2019-08-05T00:00:00.000Z,41784,0.99052260199078,5721,0.5809088364225944,18197,3.1874449502543656,169515,15295,510498
eswiki,2011-02-28T00:00:00.000Z,14391,0.3125786243741753,784,0.8869430346602387,3010,5.28531873055247,44565,2868,64767
eswikibooks,2018-12-24T00:00:00.000Z,4,-5.651785148770568,0,"",0,"",11,2,225
eswikiquote,2010-06-21T00:00:00.000Z,35,1.3423556019778253,1,10.440768098526888,1,8.041963128126914,290,22,103
eswikiquote,2014-07-28T00:00:00.000Z,11,3.8853554298435977,0,"",0,"",59,3,40
