wiki_db,week,anonymous_N_reverted,anonymous_geom_mean_ttr,newcomer_N_reverted,newcomer_geom_mean_ttr,established_N_reverted,established_geom_mean_ttr,anonymous_N_edits,newcomer_N_edits,established_N_edits
arwiki,2009-06-15T00:00:00.000Z,660,3.56789317578482,23,3.5240799956191817,462,7.068929369223779,3782,271,10570
enwiki,2015-04-13T00:00:00.000Z,54734,1.3204344236888836,7921,0.004640808587538388,26406,5.943804645292018,188341,23983,455996
eswiki,2014-03-17T00:00:00.000Z,16656,0.39988142060011833,1139,1.0786881315586716,1780,3.628656585793445,43278,3800,62648
eswiki,2019-09-02T00:00:00.000Z,16306,-2.0121187108388,1113,-1.0032171967259151,1541,2.2978277682510146,39002,3129,71471
etwiki,2012-08-20T00:00:00.000Z,20,3.222342592419743,2,0.9219418757913898,176,8.071869994882261,572,31,5382
fawiki,2013-10-21T00:00:00.000Z,403,2.299748797394611,104,3.636870363296104,413,4.841342492626002,1391,503,9784
fiwiki,2017-08-21T00:00:00.000Z,608,-0.2270631252589416,67,0.5560518565011492,155,2.6666957818761228,2345,249,11914
hewiki,2017-10-16T00:00:00.000Z,1548,0.38432746843473903,128,0.4551207459949223,1041,6.521643335102238,3723,337,23201
hewiki,2017-10-23T00:00:00.000Z,1826,1.1917709354673984,155,0.9420752611441435,1106,7.114027357766675,4060,394,21156
huwiki,2008-12-08T00:00:00.000Z,387,-0.0686435679099347,32,2.221633998992132,703,3.243155434166636,1879,500,17268
itwiki,2013-06-24T00:00:00.000Z,5955,3.0553906098965395,232,2.890891014990074,3091,8.30166115118411,30528,1101,53494
itwiki,2016-03-28T00:00:00.000Z,7219,1.516798317152448,380,1.3162568811971365,2231,7.24073842635589,31316,1226,50997
kowiki,2009-01-12T00:00:00.000Z,222,3.342636503677915,54,1.3114569522614095,436,6.075403886304165,2278,350,11852
lvwiki,2011-08-08T00:00:00.000Z,18,-1.2370080790891946,10,1.2894952514279847,63,4.746596750491902,118,46,1477
mediawikiwiki,2010-07-19T00:00:00.000Z,6,2.6180932286954053,0,"",2,12.465860780021087,34,15,63
mediawikiwiki,2013-07-08T00:00:00.000Z,13,1.4265591760490512,3,6.312399044557381,3,2.623185601262786,110,43,896
nlwiki,2007-12-03T00:00:00.000Z,2196,0.23364430709970072,212,1.629527793026371,922,7.066757308331214,7635,1136,33323
nlwiki,2012-04-30T00:00:00.000Z,2213,0.44339595488453426,106,1.9981650852685142,1365,7.621822574712382,7372,763,29976
ptwiki,2012-05-28T00:00:00.000Z,5954,-0.4462793377659731,266,0.6696560732300926,1490,5.35443325427367,15932,1035,25431
ruwiki,2007-05-14T00:00:00.000Z,1080,2.082064865960123,47,1.6514567826576607,927,5.872550911433358,8131,701,30241
ruwiki,2010-09-13T00:00:00.000Z,4986,2.0620889608205255,230,1.800843338904472,2123,4.524661015835433,25826,1697,76319
simplewiki,2014-09-29T00:00:00.000Z,544,0.562296652603812,60,0.9033128303518104,71,4.877114599833806,1389,160,2157
simplewiki,2015-09-21T00:00:00.000Z,508,-0.44724119680846486,41,0.9823429109546665,43,4.851142922027175,1131,180,1874
sqwiki,2018-03-05T00:00:00.000Z,91,1.970745271329638,15,1.3717084284730083,41,1.927238673619707,275,148,1045
srwiki,2014-03-31T00:00:00.000Z,316,0.8077979391128781,8,0.48282450629021684,126,5.161212188770244,892,87,5626
testwiki,2019-05-06T00:00:00.000Z,2,4.439240450965118,1,-0.8486320834003402,2,-1.182490954609878,12,8,123
zhwiki,2011-10-10T00:00:00.000Z,867,4.67171706954,116,4.179233258257808,1176,6.657944796459814,9201,968,28554
bswiki,2013-10-07T00:00:00.000Z,47,0.18325446697721604,7,2.3249309578898263,8,3.4464883254151597,143,14,595
enwiki,2017-09-25T00:00:00.000Z,50880,0.7378210549169513,7094,-0.19033735071197724,22806,4.832944201693038,173162,17309,495767
eswikiquote,2011-11-28T00:00:00.000Z,46,2.437039381401828,1,-0.09101939838716855,10,6.571458375646631,179,16,824
etwiki,2018-08-13T00:00:00.000Z,22,1.5301607860319244,1,0.9824529341278238,20,4.395513624570091,645,23,3975
euwiki,2010-10-11T00:00:00.000Z,25,-0.3187915930923869,0,"",55,6.4478512237403445,234,16,3158
fiwiki,2014-08-11T00:00:00.000Z,329,-0.14018271944166544,41,1.1070787570530918,178,5.248402312956026,1690,210,8660
frwiki,2007-12-17T00:00:00.000Z,6421,0.36679102460465174,383,2.994481367398566,3502,7.44247864940126,26443,2453,80237
