commitsha,damaging.hard,damaging.likelybad.max,damaging.likelybad.min,damaging.likelygood.max,damaging.likelygood.min,damaging.maybebad.max,damaging.maybebad.min,damaging.soft,damaging.softest,damaging.verylikelybad.max,damaging.verylikelybad.min,extension.status,goodfaith.bad.max,goodfaith.bad.min,goodfaith.good.max,goodfaith.good.min,goodfaith.likelybad.max,goodfaith.likelybad.min,goodfaith.likelygood.max,goodfaith.likelygood.min,goodfaith.maybebad.max,goodfaith.maybebad.min,goodfaith.verylikelybad.max,goodfaith.verylikelybad.min,rcfilters.enabled,rcfilters.watchlist.enabled,useOres,useOresUi,wiki.db,has.ores,rcfilters.enabled.default,extension.status.default,rcfilters.watchlist.enabled.default,commitsha.default,has.extension,has.beta.extension,has.rcfilters,has.rcfilters.watchlist,commit.dt,deploy.dt,deploy.gap,goodfaith.bad.min.value,goodfaith.verylikelybad.max.value,goodfaith.likelygood.min.value,damaging.maybebad.min.value,goodfaith.bad.max.value,damaging.likelybad.min.value,goodfaith.likelybad.min.value,damaging.verylikelybad.max.value,goodfaith.maybebad.min.value,damaging.likelybad.max.value,damaging.verylikelybad.min.value,goodfaith.likelybad.max.value,goodfaith.good.max.value,damaging.likelygood.min.value,goodfaith.verylikelybad.min.value,damaging.likelygood.max.value,damaging.maybebad.max.value,goodfaith.likelygood.max.value,goodfaith.maybebad.max.value,goodfaith.good.min.value,next.deploy.dt
1a40cea4dccd7b480ec93bf76ae718c052550ea4,,,"",maximum recall @ precision >= 0.998,0,,"",,,"","","",,,,,"",,1,maximum recall @ precision => 0.997,maximum recall @ precision >= 0.15,0,maximum recall @ precision >= 0.9,0,,,TRUE,,lvwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-05-09 16:13:37,2018-05-09T18:04:00Z,0 days 01:50:23.000000000,,,,0.249,,0.797,,1,0,1,0.901,,,0,0,,1,1,,,2020-01-01T00:00:00Z
d420380844eec11ee1883cd7d41f08e8f85ebc90,,,"","",,,"",,,"","","",,,,,"",,,"","",,"",,TRUE,,,,mediawikiwiki,FALSE,FALSE,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,FALSE,TRUE,FALSE,FALSE,2017-03-28 06:02:38,2017-03-28T13:22:00Z,0 days 07:19:22.000000000,,,,,,,,,,,,,,,,,,,,,2020-01-01T00:00:00Z
ff109eed837bd1355994a3c4f3293716b410db1b,0.3,,"","",,,"",0.72,,"","","",,,,,"",,,"","",,"",,,,TRUE,,nlwiki,TRUE,,"",,83721dc27d3ecadb550a759e9004c794ad0cb792,FALSE,FALSE,FALSE,FALSE,2016-07-05 16:26:23,2016-07-05T23:22:00Z,0 days 06:55:37.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-05-09T23:54:00Z
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.39,,"",recall_at_precision(min_precision=0.99),0,,"",0.75,0.95,"","","",,,,,"",,,"","",,recall_at_precision(min_precision=0.9),0,,,TRUE,,nlwiki,TRUE,TRUE,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,TRUE,FALSE,TRUE,FALSE,2017-05-09 16:03:15,2017-05-09T23:54:00Z,0 days 07:50:45.000000000,,,,,,,,1,,1,,,,0,0,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,"",maximum recall @ precision >= 0.99,0,,"",,,"","","",,,,,"",,,"","",,maximum recall @ precision >= 0.9,0,,,TRUE,,nlwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.375,,0.796,,1,,1,0.926,,,0,0,,1,,,,2020-01-01T00:00:00Z
9cf08184d45ba9f6de8f8dbc212535e5f6324b80,0.11,,"","",,,"",0.4,,"","","",,,,,"",,,"","",,"",,,,TRUE,,plwiki,TRUE,,"",,83721dc27d3ecadb550a759e9004c794ad0cb792,FALSE,FALSE,FALSE,FALSE,2016-08-16 08:15:45,2016-08-16T15:27:00Z,0 days 07:11:15.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-03-28T13:22:00Z
d420380844eec11ee1883cd7d41f08e8f85ebc90,0.19,,"","",,,"",0.41,0.92,"","",on,,,,,"",,,"","",,"",,TRUE,,TRUE,,plwiki,TRUE,FALSE,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,TRUE,FALSE,TRUE,FALSE,2017-03-28 06:02:38,2017-03-28T13:22:00Z,0 days 07:19:22.000000000,,,,,,,,1,,1,,,,,,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,1,maximum recall @ precision >= 0.75,"",,,"",,,1,maximum recall @ precision >= 0.98,"",,,,,"",,,"","",,maximum recall @ precision >= 0.98,0,,,TRUE,,plwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.062,,0.601,,1,,1,0.896,,,,0,,1,,,,2020-01-01T00:00:00Z
cfe1a0ab37369f02c5b7e5832d00d7d553cddf56,0.22,,"","",,,"",0.48,,"","","",,,,,"",,,"","",,"",,,,TRUE,,ptwiki,TRUE,,"",,83721dc27d3ecadb550a759e9004c794ad0cb792,FALSE,FALSE,FALSE,FALSE,2016-07-07 16:31:26,2016-07-07T23:23:00Z,0 days 06:51:34.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-03-28T13:22:00Z
d420380844eec11ee1883cd7d41f08e8f85ebc90,0.24,,"","",,,"",0.57,0.94,"","",on,,,,,"",,,"","",,"",,TRUE,,TRUE,,ptwiki,TRUE,FALSE,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,TRUE,FALSE,TRUE,FALSE,2017-03-28 06:02:38,2017-03-28T13:22:00Z,0 days 07:19:22.000000000,,,,,,,,1,,1,,,,,,,1,,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,"",maximum recall @ precision >= 0.99,0,,"",,,"","","",,,,,"",,,"","",,maximum recall @ precision >= 0.9,0,,,TRUE,,ptwiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.255,,0.821,,1,,1,0.943,,,0,0,,1,,,,2020-01-01T00:00:00Z
05953ea411652f54149ee42c747e22ca76d8d7a6,,,"","",,,"",,,"",recall_at_precision(min_precision=0.75),"",,,,,"",,1,filter_rate_at_recall(min_recall=0.9),"",,recall_at_precision(min_precision=0.75),0,,,TRUE,,rowiki,TRUE,TRUE,"",,eff16d3f73b609f78d5afa74f9201dd04ebc4654,FALSE,FALSE,TRUE,FALSE,2017-07-24 16:00:56,2017-07-24T18:20:00Z,0 days 02:19:04.000000000,,,,,,,,1,,1,,,,,0,,1,1,,,2018-03-14T17:18:00Z
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,,"","",,,"",,,1,maximum recall @ precision >= 0.75,"",,,,,"",,1,maximum filter_rate @ recall >= 0.9,"",,maximum recall @ precision >= 0.75,0,,,TRUE,,rowiki,TRUE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,TRUE,TRUE,2018-03-14 16:09:06,2018-03-14T17:18:00Z,0 days 01:08:54.000000000,,,,0.259,,0.851,,1,,1,0.955,,,,0,,1,1,,,2020-01-01T00:00:00Z
2b6591969c07645c38d2649258b4a3893b7c5ec4,0.44,,"","",,,"",0.69,,"","","",,,,,"",,,"","",,"",,,,TRUE,,ruwiki,TRUE,,"",,83721dc27d3ecadb550a759e9004c794ad0cb792,FALSE,FALSE,FALSE,FALSE,2016-07-06 16:43:03,2016-07-06T23:32:00Z,0 days 06:48:57.000000000,,,,,,,,1,,1,,,,,,,1,,,,2017-04-11T11:09:00Z
653ef7704f549485c006186a7f77c92a06435717,0.5,1,0.859,0.599,0,1,0.466,0.73,0.95,1,0.935,on,0.081,0,1,0.57,"",,,"",0.549,0,"",,TRUE,,TRUE,,ruwiki,TRUE,FALSE,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,TRUE,FALSE,TRUE,FALSE,2017-04-11 06:38:06,2017-04-11T11:09:00Z,0 days 04:30:54.000000000,0,,,0.466,0.081,0.859,,1,0,1,0.935,,1,0,,0.599,1,,0.549,0.57,2017-11-20T19:22:00Z
50cc4870cb9472eebd7780e5832fa3aa3a181110,,1,recall_at_precision(min_precision=0.45),recall_at_precision(min_precision=0.99),0,,"",,,1,recall_at_precision(min_precision=0.75),"",,,,,recall_at_precision(min_precision=0.45),0,,"",recall_at_precision(min_precision=0.15),0,recall_at_precision(min_precision=0.75),0,,,FALSE,,ruwiki,FALSE,TRUE,"",TRUE,22f6ec8967a3b66019881f27bb37515eaae855bc,FALSE,FALSE,FALSE,FALSE,2017-11-20 15:25:47,2017-11-20T19:22:00Z,0 days 03:56:13.000000000,,,,0.346,,0.859,0,1,0,1,0.954,,,0,0,,1,,,,2017-11-27T19:11:00Z
